Loc,DateOfMonth,Weekday,Hour,NoOfBookings
6,9,2,7,76419
6,9,2,8,76726
6,9,2,9,76986
6,9,2,10,77145
6,9,2,11,77287
6,9,2,12,77426
6,9,2,13,77597
6,9,2,14,77779
6,9,2,15,78024
6,9,2,16,78363
6,9,2,17,78740
6,9,2,18,79174
6,9,2,19,79534
6,9,2,20,79853
6,9,2,21,80132
6,9,2,22,80405
6,9,2,23,80611
6,10,3,0,80715
6,10,3,1,80770
6,10,3,2,80798
6,10,3,3,80822
6,10,3,4,80871
6,10,3,5,80937
6,10,3,6,81052
6,10,3,7,81305
6,10,3,8,81592
6,10,3,9,81857
6,10,3,10,82055
6,10,3,11,82229
6,10,3,12,82397
6,10,3,13,82590
6,10,3,14,82823
6,10,3,15,83162
6,10,3,16,83566
6,10,3,17,84047
6,10,3,18,84577
6,10,3,19,85061
6,10,3,20,85463
6,10,3,21,85898
6,10,3,22,86348
6,10,3,23,86614
6,11,4,0,86776
6,11,4,1,86835
6,11,4,2,86883
6,11,4,3,86909
6,11,4,4,86973
6,11,4,5,87033
6,11,4,6,87113
6,11,4,7,87361
6,11,4,8,87648
6,11,4,9,87910
6,11,4,10,88086
6,11,4,11,88247
6,11,4,12,88430
6,11,4,13,88635
6,11,4,14,88897
6,11,4,15,89201
6,11,4,16,89561
6,11,4,17,89997
6,11,4,18,90486
6,11,4,19,90968
7,11,4,20,91384
7,11,4,21,91759
7,11,4,22,92137
7,11,4,23,92609
7,12,5,0,92989
7,12,5,1,93203
7,12,5,2,93355
7,12,5,3,93450
7,12,5,4,93511
7,12,5,5,93567
7,12,5,6,93615
7,12,5,7,93690
7,12,5,8,93766
7,12,5,9,93866
7,12,5,10,93992
7,12,5,11,94140
7,12,5,12,94291
7,12,5,13,94484
7,12,5,14,94692
7,12,5,15,94928
7,12,5,16,95280
7,12,5,17,95725
7,12,5,18,96116
7,12,5,19,96635
7,12,5,20,97047
7,12,5,21,97393
7,12,5,22,97840
7,12,5,23,98399
7,13,6,0,98897
7,13,6,1,99298
